run_id,variant,task,variation,step,command,score,done,note
3caf71b2,aws_sw,chemistry-mix,24,0,go kitchen,25,False,loc=bathroom and kitchen
3caf71b2,aws_sw,chemistry-mix,24,1,look around,25,False,loc=bathroom and kitchen
3caf71b2,aws_sw,chemistry-mix,24,2,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,3,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,4,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,5,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,6,look around,25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,7,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,8,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,9,look around,25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,10,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,11,look around,25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,12,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,13,look around,25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,14,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,15,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,16,look around,25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,17,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,18,look around,25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,19,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,20,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,21,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,22,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
3caf71b2,aws_sw,chemistry-mix,24,23,read recipe (instructions to make sugar water),25,False,"loc=kitchen: chair, counter, cupboard, freezer, fridge, glass jar (sodium "
