run_id,variant,game,seed,step,action,score,state,won,note
ce24ad74,probe52_arc,complex_maze,5,0,ACTION1,0,GameState.NOT_FINISHED,False,mechanics=I hypothesize that the actions are related to moving or modifying the grid in so | EXPERIMENT | cd=[]
ce24ad74,probe52_arc,complex_maze,5,1,ACTION2,0,GameState.NOT_FINISHED,False,"mechanics=I believe that ACTION1 changes the top-left cell of the grid, and the goal is to | cd=[]"
ce24ad74,probe52_arc,complex_maze,5,2,ACTION3,0,GameState.NOT_FINISHED,False,"mechanics=I believe that each action targets a specific section or symbol in the grid, wit | cd=[]"
ce24ad74,probe52_arc,complex_maze,5,3,ACTION4,0,GameState.NOT_FINISHED,False,mechanics=I believe that each action targets a specific section or symbol in the grid. ACT | cd=[]
ce24ad74,probe52_arc,complex_maze,5,4,ACTION5,0,GameState.NOT_FINISHED,False,"mechanics=I believe that each action targets a specific section or symbol in the grid, wit | cd=[]"
ce24ad74,probe52_arc,complex_maze,5,5,ACTION6,0,GameState.NOT_FINISHED,False,"mechanics=I believe that each action targets a specific section or symbol in the grid, wit | cd=[]"
ce24ad74,probe52_arc,complex_maze,5,6,ACTION6,0,GameState.NOT_FINISHED,False,"mechanics=I believe that each action targets a specific section or symbol in the grid, wit | cd=[]"
ce24ad74,probe52_arc,complex_maze,5,7,ACTION6,0,GameState.NOT_FINISHED,False,mechanics=I now believe that each action targets a specific pattern or combination of symb | EXPERIMENT | cd=[]
ce24ad74,probe52_arc,complex_maze,5,8,ACTION6,0,GameState.NOT_FINISHED,False,"mechanics=I now believe that each action targets a specific section of the grid, and the g | EXPERIMENT | cd=[]"
ce24ad74,probe52_arc,complex_maze,5,9,ACTION1,0,GameState.NOT_FINISHED,False,mechanics=I now believe that each action targets a specific pattern or sequence of charact | EXPERIMENT | cd=[]
ce24ad74,probe52_arc,complex_maze,5,10,ACTION1,0,GameState.NOT_FINISHED,False,"mechanics=I now believe that each action targets a specific area or shape in the grid, and | EXPERIMENT | cd=[]"
