run_id,variant,task,variation,step,command,score,done,note
795967f7,probe_sw,change-the-state-of-matter-of,21,0,go kitchen,0,False,belief=I am in a bathroom with various objects and a door | rule=the devices and materials in this environment may 
795967f7,probe_sw,change-the-state-of-matter-of,21,1,look around,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the kitchen may contain objects or substances that
795967f7,probe_sw,change-the-state-of-matter-of,21,2,open cupboard,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the kitchen may contain objects or substances that
795967f7,probe_sw,change-the-state-of-matter-of,21,3,look around,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the kitchen may contain objects or substances that
795967f7,probe_sw,change-the-state-of-matter-of,21,4,open drawer,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the kitchen may contain objects or substances that
795967f7,probe_sw,change-the-state-of-matter-of,21,5,1,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the kitchen's objects and substances can be used t | EXPERIMENT
795967f7,probe_sw,change-the-state-of-matter-of,21,6,look around,0,False,belief=I am in the kitchen with an orange in my inventory | rule=specific objects or substances in the kitchen may  | EXPERIMENT
795967f7,probe_sw,change-the-state-of-matter-of,21,7,focus on metal pot,0,True,belief=I am in the kitchen with an orange in my inventory | rule=metal objects can be heated to change the state of | EXPERIMENT
795967f7,probe_sw,change-the-state-of-matter-of,22,0,look around,0,False,"belief=I am in a living room with various objects, but no | rule=The world seems to be a text-based simulation wher"
795967f7,probe_sw,change-the-state-of-matter-of,22,1,open drawer,0,False,"belief=I am in a living room with various objects, but no | rule=The world seems to be a text-based simulation wher"
795967f7,probe_sw,change-the-state-of-matter-of,22,2,focus on the desk,0,True,"belief=I am in a living room with various objects, but no | rule=The world seems to be a text-based simulation wher"
795967f7,probe_sw,change-the-state-of-matter-of,23,0,go kitchen,0,False,belief=I am in a bathroom with various objects and a door | rule=the devices and materials in this environment may 
795967f7,probe_sw,change-the-state-of-matter-of,23,1,look around,0,False,"belief=I am in the kitchen with an orange in my inventory | rule=the kitchen may contain objects such as a stove, o"
795967f7,probe_sw,change-the-state-of-matter-of,23,2,open cupboard,0,False,"belief=I am in the kitchen with an orange in my inventory | rule=the kitchen may contain objects such as a stove, o"
795967f7,probe_sw,change-the-state-of-matter-of,23,3,look around,0,False,"belief=I am in the kitchen with an orange in my inventory | rule=the kitchen may contain objects such as a stove, o"
795967f7,probe_sw,change-the-state-of-matter-of,23,4,pick up tin cup,0,False,"belief=I am in the kitchen with an orange in my inventory | rule=the kitchen contains objects such as a stove, oven"
795967f7,probe_sw,change-the-state-of-matter-of,23,5,focus on tin cup,0,True,belief=I am in the kitchen with a tin cup in my inventory | rule=the kitchen contains objects such as a stove or ov | EXPERIMENT
795967f7,probe_sw,change-the-state-of-matter-of,24,0,go kitchen,0,False,belief=I am in a bathroom with various objects and a door | rule=the devices and materials in this environment may 
795967f7,probe_sw,change-the-state-of-matter-of,24,1,look around,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the devices and materials in this environment may 
795967f7,probe_sw,change-the-state-of-matter-of,24,2,open cupboard,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the devices and materials in this environment may 
795967f7,probe_sw,change-the-state-of-matter-of,24,3,look around,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the devices and materials in this environment may 
795967f7,probe_sw,change-the-state-of-matter-of,24,4,open fridge,0,False,belief=I am in the kitchen with an orange in my inventory | rule=the devices and materials in this environment may 
