run_id,variant,seed,step,command,reward,score,max_score,won,note
5657aced,probe3_tw,50,0,drop iron,0.0,0,1,False,"belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I do not yet know what earns score, so I must disco | STUCK"
5657aced,probe3_tw,50,1,examine gateway,0.0,0,1,False,"belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I do not yet know what earns score, so I must disco | STUCK"
5657aced,probe3_tw,50,2,examine iron,0.0,0,1,False,"belief=I am at the gateway and need to explore other locations to g | rule=I still don't know what earns score, but I've ruled out exam | STUCK"
5657aced,probe3_tw,50,3,go south,0.0,0,1,False,"belief=I am at the basement and need to explore other locations to  | rule=I still don't know what earns score, but I've ruled out exam"
5657aced,probe3_tw,50,4,go north,0.0,0,1,False,"belief=0 | rule=I still don't know what earns score, but I've ruled out exam"
5657aced,probe3_tw,50,5,take type 1 passkey,0.0,0,1,False,belief=I'm in the basement with a locked chest and a passkey. My ne | rule=I've ruled out examining the gateway and iron. I'll try taki
5657aced,probe3_tw,50,6,unlock type 1 chest with type 1 passkey,0.0,0,1,False,belief=I'm in the basement with a type 1 passkey and a locked chest | rule=I've ruled out examining the gateway and iron. I'll try inte
5657aced,probe3_tw,50,7,examine type 1 chest,0.0,0,1,False,belief=I'm in the basement with a type 1 passkey and an unlocked ty | rule=I've ruled out examining the gateway and iron. I'll try inte
5657aced,probe3_tw,50,8,open type 1 chest,0.0,0,1,False,"belief=I'm in the basement with a type 1 passkey and a type 1 chest | rule=I've ruled out examining the gateway, iron, and the type 1 c"
5657aced,probe3_tw,50,9,examine pair of headphones,0.0,0,1,False,"belief=I'm in the basement with a type 1 passkey and a type 1 chest | rule=I've ruled out examining the gateway, iron, and the type 1 c"
5657aced,probe3_tw,50,10,take pair of headphones from type 1 chest,1.0,1,1,True,"belief=I'm in the basement with a type 1 passkey and a type 1 chest | rule=I've ruled out examining the gateway, iron, type 1 chest, an"
5657aced,probe3_tw,51,0,go south,0.0,0,1,False,"belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I do not yet know what earns score, so I must disco | STUCK"
5657aced,probe3_tw,51,1,examine box,0.0,0,1,False,"belief=I am in the bedroom with a box and need to explore the surro | rule=I still don't know what earns score, but trying different ac | STUCK"
5657aced,probe3_tw,51,2,look,0.0,0,1,False,"belief=I am in the bedroom with a box and need to explore the surro | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,3,open box,0.0,0,1,False,"belief=I am in the bedroom with a box and need to explore the surro | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,4,go east,0.0,0,1,False,"belief=I am in the bedroom with an open box and need to explore the | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,5,examine tablet,0.0,0,1,False,"belief=I am in the playroom with various objects and an exit. My ne | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,6,examine bar,0.0,0,1,False,"belief=I am in the playroom with various objects and an exit. My ne | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,7,examine shelf,0.0,0,1,False,"belief=I am in the playroom with various objects and an exit. My ne | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,8,take tablet,0.0,0,1,False,"belief=I am in the playroom with a wobbly shelf and various objects | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,9,put tablet on shelf,0.0,0,1,False,"belief=I am in the playroom with a wobbly shelf and various objects | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,10,take tablet from shelf,0.0,0,1,False,"belief=I am in the playroom with a wobbly shelf and various objects | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,11,go west,0.0,0,1,False,"belief=I am in the playroom with a tablet in my inventory. My next  | rule=I still don't know what earns score, but trying different ac"
5657aced,probe3_tw,51,12,go south,0.0,0,1,False,"belief=I am in the playroom with a tablet in my inventory. My next  | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,13,examine cucumber,0.0,0,1,False,"belief=I am in the cookery with a tablet and I see a cucumber and a | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,14,examine spoon,0.0,0,1,False,"belief=I am in the cookery with a tablet and I see a cucumber and a | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,15,examine cucumber,0.0,0,1,False,"belief=I am in the cookery with a tablet and I see a cucumber and a | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,16,examine tablet,0.0,0,1,False,"belief=I am in the cookery with a tablet and I see a cucumber and a | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,17,take cucumber,0.0,0,1,False,"belief=I am in the cookery with a tablet, and I need to try a new a | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,18,drop cucumber,0.0,0,1,False,"belief=I am in the cookery with a tablet and a cucumber, my next st | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,19,go north,0.0,0,1,False,"belief=I am in the cookery with a tablet and a dropped cucumber, my | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,20,go east,0.0,0,1,False,"belief=I am in the bedroom with a tablet, my next step is to try mo | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,21,go west,0.0,0,1,False,"belief=I am in the playroom with a tablet, my next step is to try m | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,22,go north,0.0,0,1,False,"belief=I am in the bedroom with a tablet, my next step is to try mo | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,23,go south,0.0,0,1,False,"belief=I am in the pantry with a tablet, my next step is to try mov | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,24,insert tablet into box,0.0,0,1,False,"belief=I am in the bedroom with a tablet, my next step is to try mo | rule=I still don't know what raises the score, but trying differe"
5657aced,probe3_tw,51,25,close box,0.0,0,1,False,"belief=I am in the bedroom with a tablet in the box, my next step i | rule=I still don't know what raises the score, but interacting wi"
5657aced,probe3_tw,51,26,examine box,0.0,0,1,False,"belief=I am in the bedroom with a tablet in the box, my next step i | rule=I still don't know what raises the score, but interacting wi"
5657aced,probe3_tw,51,27,go east,0.0,0,1,False,"belief=I am in the bedroom with a box, my next step is to try closi | rule=I still don't know what raises the score, but interacting wi"
5657aced,probe3_tw,51,28,examine bar,0.0,0,1,False,"belief=I am in the playroom with a bar and a shelf, my next step is | rule=I still don't know what raises the score, but interacting wi"
5657aced,probe3_tw,51,29,examine shelf,0.0,0,1,False,"belief=I am in the playroom with a bar and a shelf, my next step is | rule=I still don't know what raises the score, but interacting wi"
5657aced,probe3_tw,52,0,drop stick of butter,0.0,0,1,False,"belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I do not yet know what earns score, so I must disco | STUCK"
5657aced,probe3_tw,52,1,examine hatch,0.0,0,1,False,"belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I do not yet know what earns score, so I must disco | STUCK"
5657aced,probe3_tw,52,2,examine stick of butter,0.0,0,1,False,"belief=I am in a bedroom with a closed hatch and no inventory. My n | rule=I still don't know what raises the score, but trying to move | STUCK"
5657aced,probe3_tw,52,3,open hatch,0.0,0,1,False,"belief=I am in a bedroom with a closed hatch and no inventory. My n | rule=I still don't know what raises the score, but trying to move"
5657aced,probe3_tw,52,4,go east,0.0,0,1,False,"belief=I am now in a bedroom with an open hatch and still no invent | rule=I still don't know what raises the score, but interacting wi"
5657aced,probe3_tw,52,5,examine counter,0.0,0,1,False,"belief=I am in a cookhouse with various objects and exits. My next  | rule=I still don't know what raises the score, but interacting wi"
