run_id,variant,seed,step,command,reward,score,max_score,won,note
d0740482,probe4_tw,75,0,unlock box with latchkey,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I must discover what earns score by trying actions 
d0740482,probe4_tw,75,1,open box,0.0,0,1,False,"belief=I have unlocked the box, my next step is to examine its cont | rule=Unlocking the box did not change the score, so the next step"
d0740482,probe4_tw,75,2,examine glass,0.0,0,1,False,"belief=I have unlocked and opened the box, my next step is to exami | rule=Unlocking and opening the box did not change the score, so t"
d0740482,probe4_tw,75,3,take glass from box,0.0,0,1,False,"belief=I have unlocked and opened the box, but I need to find a clu | rule=Unlocking and opening the box did not change the score, so t"
d0740482,probe4_tw,75,4,put glass on board,1.0,1,1,True,"belief=I have the glass and latchkey, and I need to find a way to c | rule=Unlocking and opening the box did not change the score. Inte"
d0740482,probe4_tw,76,0,go east,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I must discover what earns score by trying actions 
d0740482,probe4_tw,76,1,go west,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I must discover what earns score by trying actions 
d0740482,probe4_tw,76,2,go west,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I must discover what earns score by trying actions 
d0740482,probe4_tw,76,3,go east,0.0,0,1,False,"belief=I have just arrived and do not yet know the layout or the go | rule=Moving in the suggested direction might affect the score, as"
d0740482,probe4_tw,76,4,take keycard from desk,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or the go | rule=Moving in suggested directions and interacting with objects 
d0740482,probe4_tw,76,5,unlock locker with keycard,0.0,0,1,False,"belief=I have a keycard and a loaf of bread, and I'm in the Studio. | rule=Interacting with objects like the keycard and using them to "
d0740482,probe4_tw,76,6,open locker,0.0,0,1,False,"belief=I have a keycard and a loaf of bread, and I've unlocked the  | rule=Interacting with objects like the keycard and using them to "
d0740482,probe4_tw,76,7,take bug from locker,1.0,1,1,True,"belief=I have a keycard, a loaf of bread, and I've found a bug in t | rule=Interacting with objects and using them to unlock things mig"
d0740482,probe4_tw,77,0,take Henderson's limited edition latchkey from rack,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or the go | rule=unknown; I must discover what earns score by trying actions 
d0740482,probe4_tw,77,1,unlock Henderson's limited edition locker with Henderson's limited edition latchkey,0.0,0,1,False,"belief=I have a latchkey and a locker with the same name, my next s | rule=unknown, but possibly using the latchkey to unlock the locke"
d0740482,probe4_tw,77,2,open Henderson's limited edition locker,0.0,0,1,False,"belief=I have a latchkey and an unlocked locker, my next step is to | rule=possibly using the latchkey to unlock and then open the lock"
d0740482,probe4_tw,77,3,take shoe from Henderson's limited edition locker,1.0,1,1,True,"belief=I have a latchkey and an unlocked locker with a shoe inside, | rule=possibly using the latchkey to unlock and then open the lock"
