run_id,variant,seed,step,command,reward,score,max_score,won,note
2b04e933,probe51_tw,50,0,look,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | capped=0
2b04e933,probe51_tw,50,1,take type 1 passkey,0.0,0,1,False,belief=I am in the basement with a locked chest and a passkey  | capped=1
2b04e933,probe51_tw,50,2,unlock type 1 chest with type 1 passkey,0.0,0,1,False,"belief=I am in the basement with a type 1 passkey and an iron, | capped=1"
2b04e933,probe51_tw,50,3,examine type 1 chest,0.0,0,1,False,"belief=I am in the basement with a type 1 passkey and an iron, | capped=1"
2b04e933,probe51_tw,50,4,open type 1 chest,0.0,0,1,False,"belief=I am in the basement with a type 1 passkey and an iron, | capped=2"
2b04e933,probe51_tw,50,5,take pair of headphones from type 1 chest,1.0,1,1,True,"belief=I am in the basement with a type 1 passkey, an iron, an | capped=2"
2b04e933,probe51_tw,51,0,look,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | capped=0
2b04e933,probe51_tw,51,1,go south,0.0,0,1,False,belief=I am in a pantry with an unguarded exit to the south. M | capped=1
2b04e933,probe51_tw,51,2,go east,0.0,0,1,False,belief=I am in a bedroom with a box and multiple exits. My nex | capped=1
2b04e933,probe51_tw,51,3,take tablet,0.0,0,1,False,belief=I am in a playroom with various objects and an exit. My | capped=1
2b04e933,probe51_tw,51,4,examine tablet,0.0,0,1,False,"belief=I am in a playroom with a tablet, and my next step is t | capped=1"
2b04e933,probe51_tw,51,5,put tablet on bar,1.0,1,1,True,"belief=I am in a playroom with a tablet, and my next step is t | capped=2"
2b04e933,probe51_tw,52,0,look,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | capped=0
2b04e933,probe51_tw,52,1,go north,0.0,0,1,False,"belief=I am in the bedroom with a stick of butter, and my next | capped=1"
2b04e933,probe51_tw,52,2,go south,0.0,0,1,False,"belief=I am in the pantry with a stick of butter, and my next  | capped=1"
2b04e933,probe51_tw,52,3,examine hatch,0.0,0,1,False,"belief=I am in the bedroom with a stick of butter, and my next | capped=1"
2b04e933,probe51_tw,52,4,open hatch,0.0,0,1,False,"belief=I am in the bedroom with a stick of butter, and my next | capped=2"
2b04e933,probe51_tw,52,5,go east,0.0,0,1,False,belief=I am in the bedroom with a stick of butter and an open  | capped=2
2b04e933,probe51_tw,52,6,take knife from counter,0.0,0,1,False,"belief=I am in the cookhouse with a stick of butter, and my ne | capped=2"
2b04e933,probe51_tw,52,7,examine chest,0.0,0,1,False,belief=I am in the cookhouse with a stick of butter and a knif | capped=2
2b04e933,probe51_tw,52,8,insert stick of butter into chest,0.0,0,1,False,belief=I am in the cookhouse with a stick of butter and a knif | capped=3
2b04e933,probe51_tw,52,9,examine counter,0.0,0,1,False,belief=I am in the cookhouse with a stick of butter and a knif | capped=3
2b04e933,probe51_tw,52,10,put knife on counter,0.0,0,1,False,belief=I am in the cookhouse with a knife and a chest containi | capped=4
2b04e933,probe51_tw,52,11,take stick of butter from chest,0.0,0,1,False,belief=I am in the cookhouse with a knife on the counter and a | capped=4
2b04e933,probe51_tw,52,12,put stick of butter on counter,0.0,0,1,False,belief=I am in the cookhouse with a stick of butter and a knif | capped=4
2b04e933,probe51_tw,52,13,take knife from counter,0.0,0,1,False,belief=I am in the cookhouse with a stick of butter and a knif | capped=4
2b04e933,probe51_tw,52,14,examine salad,0.0,0,1,False,"belief=I am in the cookhouse with a knife and a salad, and my  | capped=4"
2b04e933,probe51_tw,52,15,examine knife,0.0,0,1,False,"belief=I am in the cookhouse with a knife and a salad, and my  | capped=5"
2b04e933,probe51_tw,52,16,take salad,0.0,0,1,False,"belief=I am in the cookhouse with a knife and a salad, and my  | capped=6"
2b04e933,probe51_tw,52,17,eat salad,0.0,0,1,False,"belief=I am in the cookhouse with a knife and a salad, and my  | capped=6"
2b04e933,probe51_tw,52,18,go north,0.0,0,1,False,"belief=I am in the cookhouse with a knife, having just eaten a | capped=5"
2b04e933,probe51_tw,52,19,go south,0.0,0,1,False,"belief=I am in a spare room with a knife, and my next step is  | capped=2"
2b04e933,probe51_tw,52,20,take stick of butter from counter,0.0,0,1,False,"belief=I am in a cookhouse with a knife and an empty chest, an | capped=6"
2b04e933,probe51_tw,52,21,examine stick of butter,0.0,0,1,False,"belief=I am in a cookhouse with a knife and a stick of butter, | capped=6"
2b04e933,probe51_tw,52,22,put knife on counter,0.0,0,1,False,"belief=I am in a cookhouse with a knife and a stick of butter, | capped=7"
2b04e933,probe51_tw,52,23,put stick of butter on counter,0.0,0,1,False,"belief=I am in a cookhouse with a knife and a stick of butter, | capped=8"
2b04e933,probe51_tw,52,24,go west,0.0,0,1,False,belief=I am in a cookhouse with a knife and a stick of butter  | capped=8
2b04e933,probe51_tw,52,25,go east,0.0,0,1,False,belief=I am in a bedroom with an open hatch to the east and an | capped=3
2b04e933,probe51_tw,52,26,close chest,0.0,0,1,False,"belief=I am in a cookhouse with a chest, counter, stick of but | capped=8"
2b04e933,probe51_tw,52,27,take stick of butter from counter,0.0,0,1,False,"belief=I am in a cookhouse with a chest, counter, stick of but | capped=8"
2b04e933,probe51_tw,52,28,eat stick of butter,0.0,0,1,False,"belief=I am in a cookhouse with a chest, counter, stick of but | capped=9"
2b04e933,probe51_tw,52,29,open chest,0.0,0,1,False,"belief=I am in a cookhouse with a chest, counter, and knife. M | capped=7"
2b04e933,probe51_tw,53,0,look,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | capped=0
2b04e933,probe51_tw,53,1,examine chest,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | capped=1
2b04e933,probe51_tw,53,2,unlock chest with passkey,0.0,0,1,False,"belief=I have a passkey and a grape, and I'm in a laundromat.  | capped=2"
2b04e933,probe51_tw,53,3,close cabinet,0.0,0,1,False,"belief=I have a passkey and a grape, and I'm in a laundromat.  | capped=2"
2b04e933,probe51_tw,53,4,go north,0.0,0,1,False,"belief=I have a passkey and a grape, and I'm in a laundromat.  | capped=2"
2b04e933,probe51_tw,53,5,take loaf of bread,0.0,0,1,False,"belief=I have a passkey and a grape, and I'm in a dish-pit. My | capped=1"
2b04e933,probe51_tw,53,6,eat grape,0.0,0,1,False,"belief=I have a passkey, a grape, and a loaf of bread in the d | capped=1"
2b04e933,probe51_tw,53,7,eat loaf of bread,0.0,0,1,False,belief=I have a passkey and a loaf of bread in the dish-pit. M | capped=1
2b04e933,probe51_tw,53,8,drop passkey,0.0,0,1,False,belief=I have a passkey and a loaf of bread in the dish-pit. M | capped=1
2b04e933,probe51_tw,53,9,take passkey,0.0,0,1,False,belief=I have dropped the passkey and need to retrieve it to p | capped=1
2b04e933,probe51_tw,53,10,go south,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=1
2b04e933,probe51_tw,53,11,open gateway,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=2
2b04e933,probe51_tw,53,12,go west,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=2
2b04e933,probe51_tw,53,13,go east,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=1
2b04e933,probe51_tw,53,14,open cabinet,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=2
2b04e933,probe51_tw,53,15,go north,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=2
2b04e933,probe51_tw,53,16,examine passkey,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=1
2b04e933,probe51_tw,53,17,go south,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=2
2b04e933,probe51_tw,53,18,go west,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=4
2b04e933,probe51_tw,53,19,examine gateway,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=3
2b04e933,probe51_tw,53,20,go east,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=4 | STUCK
2b04e933,probe51_tw,53,21,open chest,0.0,0,1,False,belief=I have the passkey and need to find a door or lock to u | capped=6 | STUCK
2b04e933,probe51_tw,53,22,examine iron,0.0,0,1,False,"belief=I have the passkey and an iron, and I need to find a do | capped=6"
2b04e933,probe51_tw,53,23,examine cabinet,0.0,0,1,False,"belief=I have the passkey and an iron, and I need to find a do | capped=7"
2b04e933,probe51_tw,53,24,insert passkey into cabinet,0.0,0,1,False,belief=I have the passkey and I need to find a way to use it o | capped=8
2b04e933,probe51_tw,53,25,close cabinet,0.0,0,1,False,"belief=I have used the passkey on the cabinet, my next step is | capped=8"
2b04e933,probe51_tw,53,26,take iron from chest,0.0,0,1,False,"belief=I have closed the cabinet, my next step is to interact  | capped=7"
2b04e933,probe51_tw,53,27,insert iron into chest,0.0,0,1,False,"belief=I have the iron, my next step is to interact with other | capped=7"
2b04e933,probe51_tw,53,28,open cabinet,0.0,0,1,False,"belief=I have the iron in the chest, my next step is to intera | capped=7"
2b04e933,probe51_tw,53,29,take passkey from cabinet,0.0,0,1,False,"belief=I have a passkey, my next step is to use it to unlock s | capped=9"
2b04e933,probe51_tw,54,0,drop teacup,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | capped=0
2b04e933,probe51_tw,54,1,go north,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | capped=0
2b04e933,probe51_tw,54,2,go south,0.0,0,1,False,belief=I am in an office with a cabinet containing a cashew. M | capped=0
2b04e933,probe51_tw,54,3,examine trunk,0.0,0,1,False,belief=I am in a basement with a trunk and a teacup. My next s | capped=0
2b04e933,probe51_tw,54,4,open trunk,0.0,0,1,False,belief=I am in a basement with a trunk and I need to find a wa | capped=1
2b04e933,probe51_tw,54,5,look,0.0,0,1,False,belief=I am in a basement with an open trunk and I need to fin | capped=1
2b04e933,probe51_tw,54,6,take teacup,0.0,0,1,False,"belief=I am in a basement with an open trunk and a teacup, my  | capped=2"
2b04e933,probe51_tw,54,7,insert teacup into trunk,0.0,0,1,False,"belief=I am in a basement with a teacup, my next step is to in | capped=2"
2b04e933,probe51_tw,54,8,take teacup from trunk,0.0,0,1,False,"belief=I am in a basement with a teacup in the trunk, my next  | capped=2"
2b04e933,probe51_tw,54,9,drop teacup,0.0,0,1,False,"belief=I am in a basement with a teacup, my next step is to dr | capped=2"
2b04e933,probe51_tw,54,10,go north,0.0,0,1,False,"belief=I am in a basement with a dropped teacup, my next step  | capped=2"
2b04e933,probe51_tw,54,11,take cashew from cabinet,0.0,0,1,False,"belief=I am in an office with a cabinet containing a cashew, m | capped=1"
2b04e933,probe51_tw,54,12,drop cashew,0.0,0,1,False,belief=I am in an office with a cabinet and a cashew in my inv | capped=1
2b04e933,probe51_tw,54,13,take cashew,0.0,0,1,False,belief=I am in an office with a cabinet and a cashew on the gr | capped=1
2b04e933,probe51_tw,54,14,insert cashew into cabinet,0.0,0,1,False,"belief=I am in an office with a cabinet and I have a cashew, m | capped=1"
2b04e933,probe51_tw,54,15,close cabinet,0.0,0,1,False,belief=I am in an office with a cabinet and a cashew inside it | capped=1
2b04e933,probe51_tw,54,16,go south,0.0,0,1,False,"belief=I am in an office with a cabinet, my next step is to go | capped=1"
2b04e933,probe51_tw,54,17,take teacup,0.0,0,1,False,"belief=I am in a basement with an empty trunk and a teacup, my | capped=4"
2b04e933,probe51_tw,54,18,go west,0.0,0,1,False,"belief=I am in a basement with a teacup and a trunk, my next s | capped=5"
