run_id,variant,seed,step,command,reward,score,max_score,won,note
37e9489d,probe2_tw,25,0,eat candy bar,0.0,0,1,False,"hyps=['eating the candy bar earns score', 'examining objects earns score'] | plan=test if eating the candy bar earns score | CONTRADICTION"
37e9489d,probe2_tw,25,1,examine cuboid safe,0.0,0,1,False,"hyps=['eating the candy bar earns score', 'examining objects earns score'] | plan=test if examining objects earns score"
37e9489d,probe2_tw,25,2,go west,0.0,0,1,False,"hyps=['examining objects earns score', 'moving earns score'] | plan=Test if moving earns score by going west"
37e9489d,probe2_tw,25,3,examine board,0.0,0,1,False,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if examining objects earns score by examining"
37e9489d,probe2_tw,25,4,examine cuboid keycard,0.0,0,1,False,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if examining objects earns score by examining"
37e9489d,probe2_tw,25,5,take cuboid keycard from board,0.0,0,1,False,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if taking an object earns score by taking the"
37e9489d,probe2_tw,25,6,examine gate,0.0,0,1,False,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if examining objects earns score by examining"
37e9489d,probe2_tw,25,7,examine gate,0.0,0,1,False,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if examining objects earns score by examining"
37e9489d,probe2_tw,25,8,go east,0.0,0,1,False,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if moving earns score by going east"
37e9489d,probe2_tw,25,9,examine cuboid safe,0.0,0,1,False,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if examining objects earns score by examining"
37e9489d,probe2_tw,25,10,unlock cuboid safe with cuboid keycard,1.0,1,1,True,"hyps=['interacting with the environment earns score', 'examining objects earns score'] | plan=Test if unlocking the cuboid safe earns score"
37e9489d,probe2_tw,26,0,look,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=explore the surroundings and interact with objects | CONTRADICTION"
37e9489d,probe2_tw,26,1,go north,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=explore the surroundings by going north and intera"
37e9489d,probe2_tw,26,2,go south,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=explore the surroundings by going south and intera"
37e9489d,probe2_tw,26,3,go south,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=explore the surroundings by going south and intera"
37e9489d,probe2_tw,26,4,examine type 0 key,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=interact with objects in the attic"
37e9489d,probe2_tw,26,5,examine cabinet,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=interact with objects in the attic"
37e9489d,probe2_tw,26,6,open cabinet,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=interact with cabinet"
37e9489d,probe2_tw,26,7,examine cabinet,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=examine objects in the attic"
37e9489d,probe2_tw,26,8,examine shelf,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=examine other objects in the attic"
37e9489d,probe2_tw,26,9,take type 0 key from shelf,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=take the type 0 key and explore adjacent areas"
37e9489d,probe2_tw,26,10,go north,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=explore adjacent areas and interact with objects"
37e9489d,probe2_tw,26,11,go south,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=explore adjacent areas and interact with objects"
37e9489d,probe2_tw,26,12,examine type 0 safe,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=explore adjacent areas and interact with objects, "
37e9489d,probe2_tw,26,13,unlock type 0 safe with type 0 key,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=interact with type 0 safe using type 0 key"
37e9489d,probe2_tw,26,14,examine type 0 safe,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=Explore the attic by examining objects and moving "
37e9489d,probe2_tw,26,15,examine cabinet,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=Explore the attic by examining objects and moving "
37e9489d,probe2_tw,26,16,examine gate,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=Examine other objects in the attic to see if inter"
37e9489d,probe2_tw,26,17,go north,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=Explore the area by going north and examining new "
37e9489d,probe2_tw,26,18,go south,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=Explore the area by going south and examining new "
37e9489d,probe2_tw,26,19,go west,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=Explore the area by going west and examining new o"
37e9489d,probe2_tw,26,20,go east,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=Explore the area by going east and examining new o"
37e9489d,probe2_tw,26,21,examine shelf,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=Explore the area by examining new objects and movi"
37e9489d,probe2_tw,26,22,examine cabinet,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=Examine and interact with new objects to gather mo"
37e9489d,probe2_tw,26,23,insert type 0 key into cabinet,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=Interact with the cabinet and its contents"
37e9489d,probe2_tw,26,24,open type 0 safe,1.0,1,1,True,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=Interact with the cabinet and its contents, then e"
37e9489d,probe2_tw,27,0,go east,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=test exploration hypothesis by moving to a new loc | CONTRADICTION"
37e9489d,probe2_tw,27,1,go west,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=test exploration hypothesis by moving to a new loc"
37e9489d,probe2_tw,27,2,go east,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=test exploration hypothesis by moving to a new loc"
37e9489d,probe2_tw,27,3,take non-euclidean passkey,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects hypothesis by examin"
37e9489d,probe2_tw,27,4,examine non-euclidean passkey,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects hypothesis by examin"
37e9489d,probe2_tw,27,5,examine gate,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects hypothesis by examin"
37e9489d,probe2_tw,27,6,examine bowl,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects hypothesis by examin"
37e9489d,probe2_tw,27,7,open non-euclidean chest,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects hypothesis by intera"
37e9489d,probe2_tw,27,8,examine butterfly,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects hypothesis by intera"
37e9489d,probe2_tw,27,9,examine butterfly,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects hypothesis by intera"
37e9489d,probe2_tw,27,10,go west,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test movement earns score hypothesis by going west"
37e9489d,probe2_tw,27,11,go east,0.0,0,1,False,"hyps=['movement earns score', 'interaction with objects earns score'] | plan=test movement earns score hypothesis by going east"
37e9489d,probe2_tw,27,12,open gate,0.0,0,1,False,"hyps=['movement earns score', 'interaction with objects earns score'] | plan=test movement earns score hypothesis by going nort"
37e9489d,probe2_tw,27,13,go north,0.0,0,1,False,"hyps=['movement earns score', 'interaction with objects earns score'] | plan=test movement earns score hypothesis by going nort"
37e9489d,probe2_tw,27,14,go south,0.0,0,1,False,"hyps=['exploration earns score', 'movement earns score'] | plan=test exploration earns score hypothesis by going t"
37e9489d,probe2_tw,27,15,go north,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=test exploration earns score hypothesis by going t"
37e9489d,probe2_tw,27,16,examine suitcase,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects earns score hypothes"
37e9489d,probe2_tw,27,17,insert non-euclidean passkey into suitcase,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects earns score hypothes"
37e9489d,probe2_tw,27,18,examine suitcase,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects earns score hypothes"
37e9489d,probe2_tw,27,19,take non-euclidean passkey from suitcase,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects earns score hypothes"
37e9489d,probe2_tw,27,20,go east,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test exploration earns score hypothesis by moving "
37e9489d,probe2_tw,27,21,go west,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=test exploration earns score hypothesis by moving "
37e9489d,probe2_tw,27,22,go south,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=test exploration earns score hypothesis by moving "
37e9489d,probe2_tw,27,23,go north,0.0,0,1,False,"hyps=['exploration earns score', 'interaction with objects earns score'] | plan=test exploration earns score hypothesis by moving "
37e9489d,probe2_tw,27,24,examine non-euclidean passkey,0.0,0,1,False,"hyps=['interaction with objects earns score', 'exploration earns score'] | plan=test interaction with objects earns score hypothes"
