run_id,variant,seed,step,command,reward,score,max_score,won,note
a516c23b,probe5_tw,0,0,go north,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,0,1,go south,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,0,2,take Canadian limited edition latchkey,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=1
a516c23b,probe5_tw,0,3,insert Canadian limited edition latchkey into Canadian limited edition safe,0.0,0,1,False,"belief=I have the latchkey and binder, and I'm in the Laundrom | avoid=1"
a516c23b,probe5_tw,0,4,examine Canadian limited edition safe,0.0,0,1,False,"belief=I have the latchkey inserted into the safe, and I'm in  | avoid=1"
a516c23b,probe5_tw,0,5,examine binder,0.0,0,1,False,"belief=I have the latchkey inserted into the safe, and I'm in  | avoid=2"
a516c23b,probe5_tw,0,6,insert binder into Canadian limited edition safe,0.0,0,1,False,belief=I have the latchkey inserted into the safe and I'm in t | avoid=3
a516c23b,probe5_tw,0,7,close Canadian limited edition safe,0.0,0,1,False,belief=I have the binder inserted into the safe and I'm in the | avoid=3
a516c23b,probe5_tw,0,8,open Canadian limited edition safe,0.0,0,1,False,"belief=I closed the safe, now I should try to open it to see i | avoid=2"
a516c23b,probe5_tw,0,9,take Canadian limited edition latchkey from Canadian limited edition safe,0.0,0,1,False,"belief=I'm in the Laundromat with the safe open, and I should  | avoid=4"
a516c23b,probe5_tw,0,10,take binder from Canadian limited edition safe,0.0,0,1,False,belief=I'm in the Laundromat with the safe open and the latchk | avoid=5
a516c23b,probe5_tw,0,11,drop binder,0.0,0,1,False,"belief=I'm in the Laundromat with the safe open, the latchkey  | avoid=6"
a516c23b,probe5_tw,0,12,examine Canadian limited edition latchkey,0.0,0,1,False,belief=I'm in the Laundromat with the binder on the ground and | avoid=5
a516c23b,probe5_tw,0,13,drop Canadian limited edition latchkey,0.0,0,1,False,belief=I'm in the Laundromat with the latchkey in my inventory | avoid=6
a516c23b,probe5_tw,0,14,look,0.0,0,1,False,belief=I'm in the Laundromat with the latchkey on the ground.  | avoid=6
a516c23b,probe5_tw,0,15,take binder,0.0,0,1,False,belief=I'm in the Laundromat with a latchkey and a binder on t | avoid=7
a516c23b,probe5_tw,0,16,inventory,0.0,0,1,False,belief=I'm in the Laundromat with a binder. My next step is to | avoid=9
a516c23b,probe5_tw,0,17,close Canadian limited edition safe,0.0,0,1,False,belief=I'm in the Laundromat with a binder. Since going north  | avoid=10
a516c23b,probe5_tw,0,18,drop binder,0.0,0,1,False,belief=I'm in the Laundromat with a binder and a closed Canadi | avoid=9
a516c23b,probe5_tw,0,19,examine Canadian limited edition latchkey,0.0,0,1,False,belief=I'm in the Laundromat with a binder on the ground and a | avoid=9
a516c23b,probe5_tw,0,20,examine Canadian limited edition safe,0.0,0,1,False,belief=I'm in the Laundromat with a closed Canadian limited ed | avoid=9
a516c23b,probe5_tw,0,21,examine binder,0.0,0,1,False,belief=I'm in the Laundromat with a closed Canadian limited ed | avoid=9
a516c23b,probe5_tw,0,22,go north,0.0,0,1,False,belief=I'm in the Laundromat with a closed Canadian limited ed | avoid=9
a516c23b,probe5_tw,0,23,open gate,0.0,0,1,False,belief=I'm in a shower with a closed gate to the east and an u | avoid=3
a516c23b,probe5_tw,0,24,go east,0.0,0,1,False,belief=I'm in a shower with a now open gate to the east and an | avoid=3
a516c23b,probe5_tw,0,25,go west,0.0,0,1,False,belief=I'm in a cellar with an open gate to the west and an ex | avoid=3
a516c23b,probe5_tw,0,26,close gate,0.0,0,1,False,belief=I'm in a shower with an open gate to the east and an ex | avoid=4
a516c23b,probe5_tw,0,27,examine gate,0.0,0,1,False,belief=I'm in a shower with a closed gate to the east and an e | avoid=4
a516c23b,probe5_tw,0,28,examine gate,0.0,0,1,False,belief=I'm at a closed gate with no clear way forward. My next | avoid=5
a516c23b,probe5_tw,0,29,go south,0.0,0,1,False,belief=I'm at a closed gate with no clear way forward. My next | avoid=5
a516c23b,probe5_tw,1,0,unlock cuboid gate with cuboid keycard,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,1,1,go west,0.0,0,1,False,"belief=I have unlocked the cuboid gate, my next step is to see | avoid=0"
a516c23b,probe5_tw,1,2,take key,0.0,0,1,False,"belief=I am in a dish-pit with a safe, a platter, and a key on | avoid=0"
a516c23b,probe5_tw,1,3,examine safe,0.0,0,1,False,"belief=I am in a dish-pit with a safe, a platter, and I have a | avoid=0"
a516c23b,probe5_tw,1,4,open safe,0.0,0,1,False,"belief=I am in a dish-pit with a safe, and I have a key. My ne | avoid=1"
a516c23b,probe5_tw,1,5,insert key into safe,0.0,0,1,False,"belief=I am in a dish-pit with an open safe, and I have a key, | avoid=1"
a516c23b,probe5_tw,1,6,insert cuboid keycard into safe,0.0,0,1,False,"belief=I am in a dish-pit with an open safe, and I have a key, | avoid=1"
a516c23b,probe5_tw,1,7,insert stapler into safe,0.0,0,1,False,belief=I am in a dish-pit with an open safe and a stapler. My  | avoid=1
a516c23b,probe5_tw,1,8,take stapler from safe,0.0,0,1,False,belief=I am in a dish-pit with a stapler inside an open safe.  | avoid=1
a516c23b,probe5_tw,1,9,go east,0.0,0,1,False,belief=I am in a dish-pit with a stapler that I just took from | avoid=2
a516c23b,probe5_tw,1,10,open cabinet,0.0,0,1,False,"belief=I am in a cookhouse with a stapler, and my next step is | avoid=1"
a516c23b,probe5_tw,1,11,close cabinet,0.0,0,1,False,"belief=I am in a cookhouse with a stapler, and my next step is | avoid=1"
a516c23b,probe5_tw,1,12,examine cuboid gate,0.0,0,1,False,"belief=I am in a cookhouse with a stapler, and my next step is | avoid=2"
a516c23b,probe5_tw,1,13,open cuboid gate,0.0,0,1,False,belief=I am in a cookhouse with a stapler and a closed cuboid  | avoid=3
a516c23b,probe5_tw,1,14,go north,0.0,0,1,False,belief=I am in a cookhouse with a stapler and an open cuboid g | avoid=3
a516c23b,probe5_tw,1,15,go south,0.0,0,1,False,belief=I am in a studio with a stapler and an open cuboid gate | avoid=2
a516c23b,probe5_tw,1,16,examine cabinet,0.0,0,1,False,belief=I am in a cookhouse with a stapler and an open cuboid g | avoid=4
a516c23b,probe5_tw,1,17,drop stapler,0.0,0,1,False,belief=I am in a cookhouse with a stapler and a closed cabinet | avoid=5
a516c23b,probe5_tw,1,18,take stapler,0.0,0,1,False,belief=I am in a cookhouse with a dropped stapler and a closed | avoid=5
a516c23b,probe5_tw,1,19,look,0.0,0,1,False,"belief=I am in a cookhouse with a stapler, and my next step is | avoid=6"
a516c23b,probe5_tw,1,20,close cuboid gate,0.0,0,1,False,"belief=I am in a cookhouse with a stapler, and my next step is | avoid=7"
a516c23b,probe5_tw,1,21,examine stapler,0.0,0,1,False,"belief=I am in a cookhouse with a stapler, and my next step is | avoid=7"
a516c23b,probe5_tw,1,22,inventory,0.0,0,1,False,belief=I am in a cookhouse with a stapler and my next step is  | avoid=8
a516c23b,probe5_tw,1,23,drop stapler,0.0,0,1,False,belief=I am in a cookhouse with a stapler and my next step is  | avoid=9 | STUCK
a516c23b,probe5_tw,1,24,examine cabinet,0.0,0,1,False,belief=I am in a cookhouse with a dropped stapler and my next  | avoid=9
a516c23b,probe5_tw,1,25,examine cuboid gate,0.0,0,1,False,belief=I am in a cookhouse with a cabinet and my next step is  | avoid=9
a516c23b,probe5_tw,1,26,examine stapler,0.0,0,1,False,belief=I am in a location with a closed cuboid gate and my nex | avoid=9
a516c23b,probe5_tw,1,27,go west,0.0,0,1,False,belief=I am in a location with a closed cuboid gate and my nex | avoid=9
a516c23b,probe5_tw,1,28,take cuboid keycard from safe,0.0,0,1,False,belief=I am in a location with a safe containing potentially u | avoid=4
a516c23b,probe5_tw,1,29,put cuboid keycard on platter,0.0,0,1,False,"belief=I am in a location with a safe and a cuboid keycard, an | avoid=5"
a516c23b,probe5_tw,2,0,look,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,2,1,open portal,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=1
a516c23b,probe5_tw,2,2,unlock safe with latchkey,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=1
a516c23b,probe5_tw,2,3,open safe,0.0,0,1,False,belief=I have just unlocked the safe and my next step is to tr | avoid=1
a516c23b,probe5_tw,2,4,take textbook from safe,0.0,0,1,False,"belief=I have unlocked and opened the safe, revealing a textbo | avoid=1"
a516c23b,probe5_tw,2,5,examine textbook,0.0,0,1,False,belief=I have a textbook and my next step is to examine it to  | avoid=1
a516c23b,probe5_tw,2,6,put textbook on bed stand,1.0,1,1,True,belief=I have a textbook and my next step is to put it on the  | avoid=2
a516c23b,probe5_tw,3,0,unlock box with keycard,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,3,1,examine box,0.0,0,1,False,belief=I have unlocked the box and now I should investigate it | avoid=0
a516c23b,probe5_tw,3,2,open box,0.0,0,1,False,belief=I need to try other actions that change the world. My n | avoid=1
a516c23b,probe5_tw,3,3,take nest of bats from box,0.0,0,1,False,belief=The box is open and a nest of bats is revealed. My next | avoid=1
a516c23b,probe5_tw,3,4,examine nest of bats,0.0,0,1,False,belief=The box is open and a nest of bats is revealed. My next | avoid=1
a516c23b,probe5_tw,3,5,put nest of bats on bench,1.0,1,1,True,belief=The nest of bats might have a special connection to oth | avoid=2
a516c23b,probe5_tw,4,0,drop controller,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,4,1,go north,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,4,2,go east,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,4,3,go west,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,4,4,close portal,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=1
a516c23b,probe5_tw,4,5,open portal,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,4,6,go south,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=2
a516c23b,probe5_tw,4,7,take controller,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=1
a516c23b,probe5_tw,4,8,eat legume,0.0,0,1,False,"belief=I have a controller and a legume, and I'm in the pantry | avoid=2"
a516c23b,probe5_tw,4,9,look,0.0,0,1,False,belief=I have a controller and I'm in the pantry. My next step | avoid=2
a516c23b,probe5_tw,4,10,examine controller,0.0,0,1,False,belief=I have a controller and I'm in the pantry. My next step | avoid=3
a516c23b,probe5_tw,4,11,inventory,0.0,0,1,False,belief=I have a controller and I'm in the pantry. My next step | avoid=4
a516c23b,probe5_tw,4,12,drop controller,0.0,0,1,False,belief=I have a controller and I'm in the pantry. My next step | avoid=5
a516c23b,probe5_tw,4,13,examine controller,0.0,0,1,False,belief=I have dropped the controller and I'm in the pantry. My | avoid=5
a516c23b,probe5_tw,4,14,go north,0.0,0,1,False,"belief=I'm in the pantry with a dropped controller. Next, I'll | avoid=5"
a516c23b,probe5_tw,4,15,examine portal,0.0,0,1,False,belief=I'm in the shower with an open portal and an exit. Next | avoid=5
a516c23b,probe5_tw,4,16,close portal,0.0,0,1,False,"belief=I'm in a location with a portal, and I need to find a w | avoid=6"
a516c23b,probe5_tw,4,17,examine portal,0.0,0,1,False,"belief=I'm in a location with a closed portal, and I need to f | avoid=5"
a516c23b,probe5_tw,4,18,go south,0.0,0,1,False,"belief=I'm in a location with a closed portal, and I need to f | avoid=5"
a516c23b,probe5_tw,4,19,inventory,0.0,0,1,False,"belief=I'm in a pantry with a controller, and I need to find a | avoid=5"
a516c23b,probe5_tw,4,20,look,0.0,0,1,False,belief=I'm in a pantry and need to find an alternative way to  | avoid=5
a516c23b,probe5_tw,4,21,take controller,0.0,0,1,False,belief=I'm in a pantry with a controller on the floor. My next | avoid=5
a516c23b,probe5_tw,4,22,drop controller,0.0,0,1,False,belief=I'm in a pantry with a controller. My next step is to t | avoid=5 | STUCK
a516c23b,probe5_tw,4,23,examine controller,0.0,0,1,False,belief=I'm in a pantry with a dropped controller. My next step | avoid=5 | STUCK
a516c23b,probe5_tw,4,24,go north,0.0,0,1,False,belief=I'm in a pantry with a dropped controller. My next step | avoid=5 | STUCK
a516c23b,probe5_tw,4,25,open portal,0.0,0,1,False,belief=I'm in a shower with a closed portal and an exit to the | avoid=5 | STUCK
a516c23b,probe5_tw,4,26,go east,0.0,0,1,False,belief=I'm in a shower with a closed portal and an exit to the | avoid=6 | STUCK
a516c23b,probe5_tw,4,27,take napkin from board,0.0,0,1,False,"belief=I'm in a cookery with a saucepan, board, and napkin. My | avoid=6"
a516c23b,probe5_tw,4,28,examine saucepan,0.0,0,1,False,"belief=I'm in a cookery with a saucepan, board, and I have a n | avoid=6"
a516c23b,probe5_tw,4,29,put napkin on saucepan,1.0,1,1,True,"belief=I'm in a cookery with a saucepan and a board, and I hav | avoid=7"
a516c23b,probe5_tw,5,0,unlock gate with passkey,0.0,0,1,False,belief=I have just arrived and do not yet know the layout or t | avoid=0
a516c23b,probe5_tw,5,1,go south,0.0,0,1,False,"belief=I have unlocked the gate, my next step is to see what's | avoid=0"
a516c23b,probe5_tw,5,2,go north,0.0,0,1,False,belief=I am in the cookhouse and want to explore the unblocked | avoid=0
a516c23b,probe5_tw,5,3,drop cloak,0.0,0,1,False,belief=I am in the kitchenette and want to explore the unblock | avoid=1
a516c23b,probe5_tw,5,4,take cloak,0.0,0,1,False,"belief=I am in the kitchenette, dropping the cloak didn't chan | avoid=1"
a516c23b,probe5_tw,5,5,examine passkey,0.0,0,1,False,"belief=I am in the kitchenette with a cloak and passkey, my ne | avoid=2"
a516c23b,probe5_tw,5,6,examine cloak,0.0,0,1,False,"belief=I am in the kitchenette with a cloak and passkey, my ne | avoid=3"
a516c23b,probe5_tw,5,7,examine gate,0.0,0,1,False,"belief=I am in the kitchenette with a cloak and passkey, my ne | avoid=4"
a516c23b,probe5_tw,5,8,open gate,0.0,0,1,False,"belief=I am in the kitchenette with a cloak and passkey, my ne | avoid=5"
a516c23b,probe5_tw,5,9,go east,0.0,0,1,False,"belief=I am in the kitchenette with a cloak and passkey, my ne | avoid=5"
a516c23b,probe5_tw,5,10,examine coffer,0.0,0,1,False,"belief=I am in the study with a cloak and passkey, my next ste | avoid=5"
